frame,track_id,class,confidence,x1,y1,x2,y2,speed,unit,violation
1,1,car,0.841,120,187,167,214,,px/s,
1,2,car,0.517,424,211,441,221,,px/s,
2,1,car,0.815,112,188,161,216,,px/s,
2,2,car,0.409,423,211,439,221,,px/s,
3,1,car,0.765,100,191,150,219,,px/s,
3,2,car,0.531,421,212,437,222,,px/s,
4,1,car,0.757,100,191,150,219,186.8,px/s,
4,2,car,0.659,415,213,433,224,86.2,px/s,
5,1,car,0.863,94,192,144,221,187.5,px/s,
5,2,car,0.663,415,213,433,224,64.7,px/s,
6,1,car,0.864,94,192,144,221,150.0,px/s,
6,2,car,0.655,412,213,431,224,69.7,px/s,
7,1,car,0.836,88,193,139,222,142.9,px/s,
7,2,car,0.640,412,213,431,224,63.7,px/s,
8,1,car,0.827,81,195,133,224,112.4,px/s,
8,2,car,0.612,410,214,429,224,62.3,px/s,
9,1,car,0.826,74,196,127,225,154.8,px/s,
9,2,car,0.581,408,214,427,225,43.4,px/s,
10,1,car,0.818,67,197,117,227,166.3,px/s,
10,2,car,0.350,405,215,422,226,68.2,px/s,
11,1,car,0.831,60,199,114,229,198.7,px/s,
11,2,car,0.515,402,215,421,226,62.2,px/s,
12,1,car,0.829,60,199,114,229,162.2,px/s,
12,2,car,0.677,400,216,420,227,70.6,px/s,
13,1,car,0.857,53,200,108,231,167.9,px/s,
13,2,car,0.676,400,216,420,227,58.6,px/s,
14,1,car,0.869,46,202,102,232,162.0,px/s,
14,2,car,0.644,397,216,419,228,58.6,px/s,
15,1,car,0.889,39,203,95,235,158.2,px/s,
15,2,car,0.672,394,217,415,228,57.9,px/s,
16,1,car,0.880,35,205,88,236,162.4,px/s,
16,2,car,0.637,392,217,413,229,59.3,px/s,
17,1,car,0.881,35,207,81,238,184.0,px/s,
17,2,car,0.671,391,218,411,229,56.8,px/s,
18,1,car,0.882,35,207,81,238,140.3,px/s,
18,2,car,0.622,391,218,408,230,70.2,px/s,
19,1,car,0.876,36,208,74,240,125.5,px/s,
20,1,car,0.846,36,210,67,241,104.5,px/s,
20,3,car,0.826,330,169,364,193,,px/s,
20,5,car,0.789,581,156,604,174,,px/s,
20,7,car,0.785,605,192,642,221,,px/s,
20,6,car,0.773,571,137,588,151,,px/s,
20,4,car,0.769,640,176,674,202,,px/s,
20,8,car,0.708,479,146,503,166,,px/s,
20,10,car,0.615,463,122,477,132,,px/s,
20,13,car,0.601,332,376,447,476,,px/s,
20,11,truck,0.585,383,139,415,169,,px/s,
20,9,truck,0.556,332,376,447,476,,px/s,
20,12,car,0.454,563,117,578,133,,px/s,
20,14,car,0.452,509,103,519,109,,px/s,
21,7,car,0.798,603,192,642,220,,px/s,
21,3,car,0.796,327,170,362,195,,px/s,
21,5,car,0.781,580,155,604,173,,px/s,
21,4,car,0.739,639,175,672,201,,px/s,
21,6,car,0.724,571,137,587,151,,px/s,
21,11,truck,0.680,381,139,413,170,,px/s,
21,8,car,0.633,480,145,503,165,,px/s,
21,13,car,0.562,342,364,452,460,,px/s,
21,10,car,0.534,463,122,477,132,,px/s,
21,14,car,0.524,508,103,519,109,,px/s,
21,9,truck,0.523,342,364,452,460,,px/s,
21,12,car,0.437,563,117,578,132,,px/s,
21,15,car,0.398,403,134,421,147,,px/s,
22,13,truck,0.768,341,344,453,468,,px/s,
22,7,car,0.673,606,197,640,223,,px/s,
22,8,car,0.572,477,139,499,157,,px/s,
22,5,car,0.485,581,156,603,176,,px/s,
22,11,truck,0.367,375,134,412,166,,px/s,
22,3,truck,0.291,323,165,363,196,,px/s,
23,5,car,0.799,576,150,599,168,134.3,px/s,
23,7,car,0.742,598,185,635,212,176.1,px/s,
23,9,car,0.709,355,338,456,428,,px/s,
23,11,truck,0.644,374,134,406,167,110.6,px/s,
23,8,car,0.585,478,139,500,158,109.6,px/s,
23,4,car,0.571,633,168,665,194,,px/s,
23,3,truck,0.312,318,168,353,192,139.6,px/s,
24,7,car,0.812,598,185,635,213,139.6,px/s,
24,5,car,0.807,575,151,598,168,108.3,px/s,
24,4,car,0.782,632,169,665,194,124.6,px/s,
24,9,car,0.718,355,339,456,427,518.7,px/s,
24,3,car,0.714,318,169,354,193,115.3,px/s,
24,6,car,0.692,567,132,583,146,,px/s,
24,8,car,0.622,478,140,501,159,89.7,px/s,
24,11,truck,0.616,374,135,406,168,90.4,px/s,
24,16,car,0.561,457,119,472,129,,px/s,
24,17,car,0.419,503,98,514,105,,px/s,
24,18,car,0.399,558,110,574,127,,px/s,
26,20,car,0.846,390,190,440,225,,px/s,
26,21,car,0.801,755,161,787,185,,px/s,
26,26,car,0.773,623,147,654,172,,px/s,
26,22,car,0.767,744,137,766,155,,px/s,
26,24,car,0.751,590,119,610,133,,px/s,
26,28,truck,0.712,470,143,517,189,,px/s,
26,25,car,0.649,503,135,528,156,,px/s,
26,23,car,0.632,513,123,538,139,,px/s,
26,27,car,0.523,655,91,669,100,,px/s,
26,19,truck,0.482,471,403,601,514,,px/s,
26,29,car,0.450,733,110,753,130,,px/s,
27,20,car,0.863,385,192,437,228,,px/s,
27,19,car,0.809,480,392,606,499,,px/s,
27,26,car,0.798,624,146,655,171,,px/s,
27,21,car,0.795,755,160,786,184,,px/s,
27,22,car,0.784,744,136,766,154,,px/s,
27,24,car,0.724,588,119,609,134,,px/s,
27,28,truck,0.661,467,144,515,191,,px/s,
27,25,car,0.612,500,136,526,157,,px/s,
27,27,car,0.563,653,90,668,100,,px/s,
27,23,car,0.485,511,123,537,139,,px/s,
27,29,car,0.324,734,110,753,130,,px/s,
28,19,car,0.848,488,382,609,485,,px/s,
28,20,car,0.836,381,192,434,229,,px/s,
28,21,car,0.814,755,159,784,183,,px/s,
28,26,car,0.784,625,146,655,170,,px/s,
28,22,car,0.777,744,136,765,154,,px/s,
28,24,car,0.716,587,119,609,135,,px/s,
28,28,truck,0.687,465,145,513,192,,px/s,
28,23,car,0.659,511,123,535,139,,px/s,
28,25,car,0.632,498,136,524,158,,px/s,
28,29,car,0.501,733,110,753,129,,px/s,
28,27,car,0.486,653,91,667,100,,px/s,
29,21,car,0.789,754,159,785,182,38.3,px/s,
29,19,car,0.777,497,372,614,471,470.7,px/s,
29,22,car,0.770,743,136,765,153,30.0,px/s,
29,26,car,0.749,626,145,656,169,42.4,px/s,
29,20,car,0.721,376,195,431,232,141.2,px/s,
29,24,car,0.667,585,120,608,135,52.4,px/s,
29,23,car,0.611,509,124,534,140,42.4,px/s,
29,25,car,0.584,494,137,522,158,74.7,px/s,
29,28,truck,0.559,463,146,511,194,78.9,px/s,
29,29,car,0.524,733,109,753,129,10.0,px/s,
29,27,car,0.502,652,91,667,101,34.1,px/s,
30,21,car,0.785,754,159,784,182,28.7,px/s,
30,19,car,0.771,497,372,614,471,353.0,px/s,
30,20,car,0.764,376,195,431,232,105.9,px/s,
30,22,car,0.759,743,136,765,153,22.5,px/s,
30,26,car,0.758,626,145,656,169,31.8,px/s,
30,24,car,0.671,585,120,608,135,39.3,px/s,
30,30,truck,0.593,463,146,511,194,,px/s,
30,23,car,0.578,509,124,535,140,39.3,px/s,
30,25,car,0.568,494,137,522,158,56.0,px/s,
30,27,car,0.481,652,91,667,101,25.6,px/s,
30,28,car,0.441,463,146,511,194,59.2,px/s,
30,29,car,0.367,734,109,753,129,7.5,px/s,
31,20,car,0.812,373,196,427,234,106.4,px/s,
31,21,car,0.806,753,158,783,181,31.5,px/s,
31,22,car,0.784,743,135,765,153,18.0,px/s,
31,26,car,0.707,628,144,658,168,38.9,px/s,
31,24,car,0.685,585,120,606,135,37.4,px/s,
31,30,truck,0.593,459,147,508,195,,px/s,
31,25,car,0.555,494,138,520,159,53.3,px/s,
31,27,car,0.513,652,91,666,101,20.5,px/s,
31,23,car,0.501,504,124,533,141,56.2,px/s,
31,28,car,0.443,459,147,508,194,71.4,px/s,
31,19,truck,0.420,505,363,618,458,368.3,px/s,
31,29,car,0.418,734,109,753,128,12.0,px/s,
32,19,car,0.844,512,355,623,446,349.5,px/s,
32,21,car,0.807,753,157,783,180,29.0,px/s,
32,22,car,0.774,743,135,764,152,20.5,px/s,
32,20,car,0.744,368,197,423,236,108.7,px/s,
32,26,car,0.712,629,143,659,167,38.9,px/s,
32,24,car,0.665,584,120,605,136,32.5,px/s,
32,25,car,0.597,490,138,518,160,58.9,px/s,
32,23,car,0.594,505,125,532,141,50.2,px/s,
32,28,truck,0.577,457,147,507,195,62.9,px/s,
32,27,car,0.446,651,91,665,101,14.5,px/s,
32,29,car,0.401,734,109,753,128,12.0,px/s,
33,20,car,0.860,359,201,415,241,140.5,px/s,
33,19,car,0.827,526,339,629,424,405.3,px/s,
33,21,car,0.788,753,156,782,179,29.0,px/s,
33,22,car,0.776,743,134,764,152,14.5,px/s,
33,26,car,0.749,631,142,660,166,38.9,px/s,
33,28,truck,0.739,451,149,502,198,89.7,px/s,
33,25,car,0.679,487,139,514,161,70.2,px/s,
33,24,car,0.630,581,122,603,137,39.9,px/s,
33,23,car,0.461,503,126,529,142,57.6,px/s,
33,27,car,0.449,649,91,663,102,27.9,px/s,
33,29,car,0.349,734,108,753,128,6.0,px/s,
34,20,car,0.860,359,201,415,241,110.5,px/s,
34,19,car,0.828,526,339,629,424,311.4,px/s,
34,21,car,0.787,753,156,782,179,23.0,px/s,
34,22,car,0.776,743,134,764,152,8.5,px/s,
34,26,car,0.750,631,142,660,166,30.4,px/s,
34,28,truck,0.739,451,149,502,198,72.7,px/s,
