frame,track_id,class,confidence,x1,y1,x2,y2,speed_kmh,violation
1,1,car,0.391,121,183,167,212,,
2,1,car,0.406,119,185,161,213,,
4,2,car,0.363,114,193,151,215,,
5,2,car,0.387,112,194,144,218,,
6,3,car,0.423,92,199,140,220,,
6,2,car,0.327,114,195,144,218,,
7,3,car,0.455,86,195,141,221,,
8,3,car,0.517,80,197,134,223,,
10,3,car,0.408,68,197,116,227,,
11,3,car,0.572,59,198,114,228,,
12,3,car,0.564,59,198,114,228,,
13,3,car,0.549,54,199,108,231,,
14,3,car,0.667,45,204,101,233,,
15,3,car,0.531,39,202,96,236,,
16,3,car,0.482,37,203,89,237,,
17,3,car,0.541,37,204,81,239,,
18,3,car,0.539,37,204,81,239,,
19,3,car,0.561,37,207,74,240,,
20,5,car,0.720,607,192,649,222,,
20,4,car,0.697,331,365,447,475,,
20,8,car,0.617,329,169,363,193,,
20,3,car,0.577,37,209,68,241,,
20,6,car,0.521,646,178,675,199,,
20,7,car,0.491,382,136,417,169,,
21,4,car,0.771,339,363,453,460,,
21,5,car,0.757,606,189,646,219,,
21,8,car,0.552,326,170,363,195,,
21,6,car,0.468,643,177,674,198,,
21,7,car,0.406,381,136,417,168,,
22,4,car,0.536,344,353,451,464,,
22,5,car,0.310,604,189,643,217,,
23,4,car,0.703,357,340,455,425,,
23,8,car,0.519,316,166,354,193,,
24,4,car,0.771,356,341,456,427,,
24,5,car,0.669,601,186,642,212,,
24,8,car,0.541,316,167,352,194,,
26,10,car,0.760,470,403,600,513,,
26,9,car,0.662,787,206,835,245,,
26,11,car,0.552,622,147,655,172,,
26,12,car,0.511,390,189,439,225,,
26,13,car,0.420,840,187,879,218,,
27,10,car,0.786,481,391,606,496,,
27,11,car,0.680,623,146,655,170,,
27,9,car,0.656,787,206,834,241,,
27,12,car,0.635,386,191,438,225,,
27,13,car,0.551,835,185,877,216,,
28,10,car,0.811,489,383,609,485,,
28,9,car,0.667,784,203,832,239,,
28,11,car,0.662,624,144,656,169,,
28,12,car,0.660,382,192,434,227,,
28,13,car,0.605,833,183,874,215,,
28,14,car,0.531,756,159,783,181,,
