frame,track_id,class,confidence,x1,y1,x2,y2,speed_kmh,violation
1,1,car,0.841,120,187,167,214,,
1,2,car,0.716,1033,105,1046,111,,
1,3,car,0.639,1050,110,1064,117,,
1,4,car,0.517,424,211,441,221,,
1,5,car,0.408,964,114,981,126,,
1,6,car,0.394,1080,104,1095,111,,
2,1,car,0.815,112,188,161,216,,
2,2,car,0.719,1033,105,1046,111,,
2,3,car,0.635,1050,110,1064,117,,
2,5,car,0.413,964,114,981,126,,
2,4,car,0.409,423,211,439,221,,
2,6,car,0.334,1080,104,1095,111,,
3,1,car,0.765,100,191,150,219,,
3,2,car,0.717,1033,105,1046,111,,
3,3,car,0.634,1050,110,1064,117,,
3,4,car,0.531,421,212,437,222,,
3,5,car,0.410,964,114,981,126,,
3,6,car,0.331,1080,104,1095,111,,
4,1,car,0.757,100,191,150,219,,
4,2,car,0.715,1033,105,1046,111,,
4,4,car,0.659,415,213,433,224,,
4,3,car,0.640,1050,110,1064,117,,
4,5,car,0.388,964,114,981,126,,
4,6,car,0.328,1080,104,1095,111,,
5,1,car,0.863,94,192,144,221,,
5,2,car,0.713,1033,105,1046,111,,
5,4,car,0.663,415,213,433,224,,
5,3,car,0.642,1050,110,1064,117,,
5,5,car,0.381,963,114,981,126,,
5,6,car,0.358,1080,104,1095,111,,
6,1,car,0.864,94,192,144,221,,
6,2,car,0.714,1033,105,1046,111,,
6,4,car,0.655,412,213,431,224,,
6,3,car,0.642,1050,110,1064,117,,
6,5,car,0.379,963,114,981,126,,
6,6,car,0.359,1080,104,1095,111,,
7,1,car,0.836,88,193,139,222,,
7,2,car,0.717,1033,105,1046,111,,
7,3,car,0.643,1050,110,1064,117,,
7,4,car,0.640,412,213,431,224,,
7,6,car,0.394,1080,104,1095,111,,
7,5,car,0.376,963,114,981,126,,
8,1,car,0.827,81,195,133,224,,
8,2,car,0.722,1033,105,1046,111,,
8,3,car,0.645,1050,110,1064,117,,
8,4,car,0.612,410,214,429,224,,
8,6,car,0.398,1080,104,1095,111,,
8,5,car,0.380,963,114,981,126,,
9,1,car,0.826,74,196,127,225,,
9,2,car,0.722,1033,105,1046,111,,
9,3,car,0.645,1050,110,1064,117,,
9,4,car,0.581,408,214,427,225,,
9,6,car,0.400,1080,104,1095,111,,
9,5,car,0.376,963,114,981,126,,
10,1,car,0.818,67,197,117,227,,
10,2,car,0.722,1033,105,1046,111,,
10,3,car,0.647,1050,110,1064,117,,
10,6,car,0.403,1080,104,1095,111,,
10,5,car,0.379,963,114,981,126,,
10,4,car,0.350,405,215,422,226,,
11,1,car,0.831,60,199,114,229,,
11,2,car,0.726,1033,105,1046,111,,
11,3,car,0.648,1050,110,1064,117,,
11,4,car,0.515,402,215,421,226,,
11,5,car,0.381,964,114,981,126,,
11,6,car,0.365,1080,104,1095,111,,
12,1,car,0.829,60,199,114,229,,
12,2,car,0.726,1033,105,1046,111,,
12,4,car,0.677,400,216,420,227,,
12,3,car,0.648,1050,110,1064,117,,
12,5,car,0.382,964,114,981,126,,
12,6,car,0.365,1080,104,1095,111,,
13,1,car,0.857,53,200,108,231,,
13,2,car,0.727,1033,105,1046,111,,
13,4,car,0.676,400,216,420,227,,
13,3,car,0.650,1050,110,1064,117,,
13,6,car,0.377,1080,104,1095,111,,
13,5,car,0.374,964,114,981,126,,
14,1,car,0.869,46,202,102,232,,
14,2,car,0.727,1033,105,1046,111,,
14,3,car,0.650,1050,110,1064,117,,
14,4,car,0.644,397,216,419,228,,
14,6,car,0.373,1080,104,1095,111,,
14,5,car,0.370,963,114,981,126,,
15,1,car,0.889,39,203,95,235,,
15,2,car,0.726,1033,105,1046,111,,
15,4,car,0.672,394,217,415,228,,
15,3,car,0.650,1050,110,1064,117,,
15,6,car,0.368,1080,104,1095,111,,
15,5,car,0.364,963,114,981,126,,
16,1,car,0.880,35,205,88,236,,
16,2,car,0.728,1033,105,1046,111,,
16,3,car,0.653,1050,110,1064,117,,
16,4,car,0.637,392,217,413,229,,
16,5,car,0.379,963,114,981,126,,
16,6,car,0.364,1080,104,1095,111,,
17,1,car,0.881,35,207,81,238,,
